OSN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,%,State,Constituency,ST_CODE,PC_CODE
1,AYAN MANDAL,All India Trinamool Congress,1713,0,1713,0.83,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
2,KULDEEP RAI SHARMA,Indian National Congress,94952,0,94952,45.96,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
3,PRAKASH MINJ,Bahujan Samaj Party,2437,0,2437,1.18,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
4,VISHAL JOLLY,Bharatiya Janata Party,93675,0,93675,45.34,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
5,SANJAY MESHACK,Aam Aadmi Party,2834,0,2834,1.37,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
6,C G SAJI KUMAR,All India Hindustan Congress Party,211,0,211,0.1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
7,K KALIMUTHU,Independent,266,0,266,0.13,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
8,V V KHALID,Independent,305,0,305,0.15,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
9,GOUR CHANDRA MAJUMDER,Independent,220,0,220,0.11,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
10,PARITOSH KUMAR HALDAR,Independent,5337,0,5337,2.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
11,MINATI BISWAS,Independent,612,0,612,0.3,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
12,C U RASHEED,Independent,271,0,271,0.13,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
13,K VENKAT RAM BABU,Independent,911,0,911,0.44,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
14,S SUDERSHAN RAO,Independent,473,0,473,0.23,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
15,HENRY,Independent,990,0,990,0.48,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
16,NOTA,None of the Above,1406,0,1406,0.68,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
1,KISHORE CHANDRA DEO,Telugu Desam,332607,0,332607,31.71,Andhra Pradesh,Aruku,S01,1
2,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17318,0,17318,1.65,Andhra Pradesh,Aruku,S01,1
3,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,547256,0,547256,52.18,Andhra Pradesh,Aruku,S01,1
4,SHRUTI DEVI VYRICHERLA,Indian National Congress,17275,0,17275,1.65,Andhra Pradesh,Aruku,S01,1
5,GANGULAIAH VAMPURU.,Janasena Party,41462,0,41462,3.95,Andhra Pradesh,Aruku,S01,1
6,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4531,0,4531,0.43,Andhra Pradesh,Aruku,S01,1
7,ANUMULA VAMSIKRISHNA,Independent,9862,0,9862,0.94,Andhra Pradesh,Aruku,S01,1
8,KANGALA BALUDORA,Independent,13217,0,13217,1.26,Andhra Pradesh,Aruku,S01,1
9,NARAVA SATYAVATHI,Independent,10927,0,10927,1.04,Andhra Pradesh,Aruku,S01,1
10,BIDDIKA RAMAYYA.,Independent,7654,0,7654,0.73,Andhra Pradesh,Aruku,S01,1
11,NOTA,None of the Above,46768,0,46768,4.46,Andhra Pradesh,Aruku,S01,1
1,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,521725,0,521725,46.36,Andhra Pradesh,Srikakulam,S01,2
2,DOLA JAGAN,Indian National Congress,13298,0,13298,1.18,Andhra Pradesh,Srikakulam,S01,2
3,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,512091,0,512091,45.5,Andhra Pradesh,Srikakulam,S01,2
4,PERLA SAMBA MURTHY,Bharatiya Janata Party,7271,0,7271,0.65,Andhra Pradesh,Srikakulam,S01,2
5,MATTA SATISH CHAKRAVARTHY,Pyramid Party of India,1420,0,1420,0.13,Andhra Pradesh,Srikakulam,S01,2
6,METTA RAMARAO,Janasena Party,30963,0,30963,2.75,Andhra Pradesh,Srikakulam,S01,2
7,NAMBALLA KRISHNA MOHAN,Independent,4766,0,4766,0.42,Andhra Pradesh,Srikakulam,S01,2
8,NAIDUGARI RAJASEKHAR,Independent,5050,0,5050,0.45,Andhra Pradesh,Srikakulam,S01,2
9,BETHA VIVEKANANDA MAHARAJ,Independent,3766,0,3766,0.33,Andhra Pradesh,Srikakulam,S01,2
10,NOTA,None of the Above,25043,0,25043,2.23,Andhra Pradesh,Srikakulam,S01,2
1,Ashok Gajapathi Raju Pusapati,Telugu Desam,521123,0,521123,43.66,Andhra Pradesh,Vizianagaram,S01,3
2,Adiraju Yedla,Indian National Congress,15399,0,15399,1.29,Andhra Pradesh,Vizianagaram,S01,3
3,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,565661,0,565661,47.39,Andhra Pradesh,Vizianagaram,S01,3
4,Sanyasi Raju Pakalapati,Bharatiya Janata Party,6816,0,6816,0.57,Andhra Pradesh,Vizianagaram,S01,3
5,P.V.A. Ananda Sagar,Samaanya Praja Party,4906,0,4906,0.41,Andhra Pradesh,Vizianagaram,S01,3
6,Chiranjeevi Lingala,Andhra Chaitanya Party,1235,0,1235,0.1,Andhra Pradesh,Vizianagaram,S01,3
7,Mukka Srinivas Rao,Janasena Party,33441,0,33441,2.8,Andhra Pradesh,Vizianagaram,S01,3
